feature,importance
Graphein_hphob_roseman,0.0018187378
Amino acids_label_comp_id_C,0.0017767652
Amino acids_label_comp_id_D,0.0015158895
Graphein_hplc2_1,0.0014404721
HHBlits_C,0.001357486
DSSP_secondary structure_I,0.0011881198
Graphein_hphob_eisenberg,0.0011312141
Graphein_hphob_chothia,0.0011127404
HHBlits_E,0.00054984016
Biopython_EXP_RD,0.0
Biopython_EXP_RD_CA,0.0
PyRosetta_ddG,0.0
HHBlits_M->M,0.0
HHBlits_M->I,0.0
HHBlits_M->D,0.0
HHBlits_I->M,0.0
HHBlits_I->I,0.0
HHBlits_D->M,0.0
HHBlits_D->D,0.0
HHBlits_Neff,0.0
HHBlits_Neff_I,0.0
HHBlits_Neff_D,0.0
