feature,importance
Graphein_refractivity,0.0013273816
Melodia_phi,0.0011586491
Graphein_dim_3,0.0010474762
HHBlits_P,0.0010295641
Graphein_parallelbeta_strand,0.0008952009
Biopython_EXP_CN,0.00071356236
HHBlits_D,0.00057947886
HHBlits_A,0.0004122878
HHBlits_M,0.000328495
Graphein_hphob_black,0.00026217627
Graphein_beta_turnlevitt,0.0
Biopython_EXP_RD,0.0
Biopython_EXP_RD_CA,0.0
PyRosetta_ddG,0.0
HHBlits_M->M,0.0
HHBlits_M->I,0.0
HHBlits_M->D,0.0
HHBlits_I->M,0.0
HHBlits_I->I,0.0
HHBlits_D->M,0.0
HHBlits_D->D,0.0
HHBlits_Neff,0.0
HHBlits_Neff_I,0.0
HHBlits_Neff_D,0.0
