feature,importance
Biopython_EXP_HSE_B_D,0.0042464803
Graphein_beta_sheetfasman,0.0041747186
Graphein_hphob_woods,0.0041624126
Graphein_recognitionfactors,0.004139949
Graphein_dim_4,0.0041280063
Amino acids_label_comp_id_G,0.004126302
FPocket_Mean alpha-sphere radius,0.004110557
FPocket_Pocket volume (Monte Carlo),0.0040754625
Graphein_hphob_chothia,0.0040723123
Graphein_a_a_swiss_prot,0.0039795726
DSSP_NH_O_1_relidx,0.0039108307
DSSP_psi,0.003845617
Amino acids_label_comp_id_P,0.00382599
DSSP_NH_O_2_relidx,0.003675991
Graphein_polarityzimmerman,0.0036152394
Graphein_hphob_wilson,0.0036039331
Graphein_hphob_wolfenden,0.0035572846
FPocket_Amino Acid based volume Score,0.003425507
DSSP_NH_O_2_energy,0.0034075142
Graphein_hphob_doolittle,0.0032814492
Graphein_hphob_ph7_5,0.003242203
FreeSASA_area_polar,0.003232212
Graphein_dim_5,0.0032076081
Graphein_transmembranetendency,0.0031963065
FPocket_Polarity Score,0.0031438605
FPocket_Total SASA,0.0031268457
FreeSASA_area_apolar,0.0030669337
DSSP_O_NH_1_relidx,0.0030537476
ProDy_rmsf,0.003052895
Amino acids_label_comp_id_R,0.0030371496
Graphein_buriedresidues,0.0030284799
Amino acids_label_comp_id_A,0.0029822506
Amino acids_label_comp_id_H,0.0029706368
FPocket_Drug Score,0.002924721
Amino acids_label_comp_id_Q,0.0027592347
FPocket_Hydrophobicity Score,0.0027530983
Graphein_alpha_helixroux,0.0026897725
Graphein_hphob_eisenberg,0.0026766828
Graphein_hphob_manavalan,0.0025675003
Melodia_psi,0.0024749755
FreeSASA_relative-area_total,0.0024429215
Graphein_beta_turnlevitt,0.0024080488
Melodia_phi,0.0023704304
DSSP_O_NH_1_energy,0.0023089899
FPocket_Local hydrophobic density Score,0.0022783722
FPocket_Alpha sphere density,0.00219716
Graphein_polaritygrantham,0.0021694691
FreeSASA_area_side-chain,0.0020568792
DSSP_phi,0.0020407345
Graphein_relativemutability,0.0019438112
Biopython_EXP_HSE_B_U,0.0018814796
Amino acids_label_comp_id_M,0.0018336227
DSSP_relative ASA,0.0017085912
Graphein_hplctfa,0.0015048522
DSSP_secondary structure_G,0.001338294
Graphein_hphob_roseman,0.0012573868
DSSP_O_NH_2_relidx,0.0012228854
Graphein_hphob_ph3_4,0.0011681438
FreeSASA_area_total,0.0011528837
Biopython_EXP_CN,0.0011008676
Graphein_hphob_black,0.0010312223
Graphein_hphob_rose,0.0010287208
DSSP_secondary structure_B,0.0009860802
Graphein_hphob_parker,0.0006242721
Graphein_hphob_mobility,0.0004730912
Graphein_hphob_leo,0.0002054985
Graphein_hphob_miyazawa,0.0
Biopython_EXP_RD,0.0
Biopython_EXP_RD_CA,0.0
